job_id,part_id,topcoat_code,booth_id,milp_seq_index,arc_setup_units,arc_purge_units,arc_cost_units,cum_cost_units,instance_tag
J000037,front_bumper_c,C_OBSIDIAN_BLACK,1,43,0.0,0.0,0.0,2.0,pb1_full
J000098,rear_bumper_c,C_OBSIDIAN_BLACK,1,44,0.0,0.0,0.0,2.0,pb1_full
J000161,threshold_b,C_OBSIDIAN_BLACK,1,45,0.0,0.0,0.0,2.0,pb1_full
J000033,front_bumper_c,C_OBSIDIAN_BLACK,1,46,0.0,0.0,0.0,2.0,pb1_full
J000056,front_bumper_e,C_OBSIDIAN_BLACK,1,47,0.0,0.0,0.0,2.0,pb1_full
J000036,front_bumper_c,C_OBSIDIAN_BLACK,1,48,0.0,0.0,0.0,2.0,pb1_full
J000101,rear_bumper_c,C_OBSIDIAN_BLACK,1,49,0.0,0.0,0.0,2.0,pb1_full
J000006,middle_spoiler_a,C_OBSIDIAN_BLACK,1,50,0.0,0.0,0.0,2.0,pb1_full
J000048,front_bumper_d,C_OBSIDIAN_BLACK,1,51,0.0,0.0,0.0,2.0,pb1_full
J000166,threshold_c,C_OBSIDIAN_BLACK,1,52,0.0,0.0,0.0,2.0,pb1_full
J000113,rear_bumper_f,C_OBSIDIAN_BLACK,1,53,0.0,0.0,0.0,2.0,pb1_full
J000160,threshold_b,C_OBSIDIAN_BLACK,1,54,0.0,0.0,0.0,2.0,pb1_full
J000042,front_bumper_d,C_OBSIDIAN_BLACK,1,55,0.0,0.0,0.0,2.0,pb1_full
J000112,rear_bumper_f,C_OBSIDIAN_BLACK,1,56,0.0,0.0,0.0,2.0,pb1_full
J000102,rear_bumper_c,C_OBSIDIAN_BLACK,1,57,0.0,0.0,0.0,2.0,pb1_full
J000075,front_bumper_g,C_UNIVERSE_BLACK,1,58,1.0,0.0,1.0,3.0,pb1_full
J000130,shell_a,C_DENIM_BLUE,1,59,1.0,0.0,1.0,4.0,pb1_full
J000076,front_bumper_g,C_MILAN_SILVER,1,60,1.0,0.0,1.0,5.0,pb1_full
J000057,front_bumper_e,C_MILAN_SILVER,1,61,0.0,0.0,0.0,5.0,pb1_full
J000120,rear_bumper_g,C_MILAN_SILVER,1,62,0.0,0.0,0.0,5.0,pb1_full
J000181,radar_bracket_d,C_MILAN_SILVER,1,63,0.0,0.0,0.0,5.0,pb1_full
J000131,shell_a,C_MILAN_SILVER,1,64,0.0,0.0,0.0,5.0,pb1_full
J000139,threshold_a,C_SHINING_BLUE,1,65,1.0,0.0,1.0,6.0,pb1_full
J000138,threshold_a,C_SHINING_BLUE,1,66,0.0,0.0,0.0,6.0,pb1_full
J000005,middle_spoiler_a,C_SHINING_BLUE,1,67,0.0,0.0,0.0,6.0,pb1_full
J000109,rear_bumper_f,C_SHINING_BLUE,1,68,0.0,0.0,0.0,6.0,pb1_full
J000031,front_bumper_c,C_SHINING_BLUE,1,69,0.0,0.0,0.0,6.0,pb1_full
J000064,front_bumper_f,C_SHINING_BLUE,1,70,0.0,0.0,0.0,6.0,pb1_full
J000063,front_bumper_f,C_SHINING_BLUE,1,71,0.0,0.0,0.0,6.0,pb1_full
J000012,front_bumper_a,C_SHINING_BLUE,1,72,0.0,0.0,0.0,6.0,pb1_full
J000108,rear_bumper_f,C_SHINING_BLUE,1,73,0.0,0.0,0.0,6.0,pb1_full
J000084,rear_bumper_a,C_RUBY_RED,1,74,1.0,0.0,1.0,7.0,pb1_full
J000141,threshold_a,C_RUBY_RED,1,75,0.0,0.0,0.0,7.0,pb1_full
J000110,rear_bumper_f,C_RUBY_RED,1,76,0.0,0.0,0.0,7.0,pb1_full
J000052,front_bumper_e,C_RUBY_RED,1,77,0.0,0.0,0.0,7.0,pb1_full
J000176,radar_bracket_a,C_RUBY_RED,1,78,0.0,0.0,0.0,7.0,pb1_full
J000142,threshold_a,C_RUBY_RED,1,79,0.0,0.0,0.0,7.0,pb1_full
J000081,rear_bumper_a,C_RUBY_RED,1,80,0.0,0.0,0.0,7.0,pb1_full
J000013,front_bumper_a,C_SAPPHIRE_BLUE,1,81,1.0,0.0,1.0,8.0,pb1_full
J000133,rim_decoration_a,C_SAPPHIRE_BLUE,1,82,0.0,0.0,0.0,8.0,pb1_full
J000039,front_bumper_d,C_SAPPHIRE_BLUE,1,83,0.0,0.0,0.0,8.0,pb1_full
J000085,rear_bumper_a,C_SAPPHIRE_BLUE,1,84,0.0,0.0,0.0,8.0,pb1_full
J000145,threshold_a,C_SAPPHIRE_BLUE,1,85,0.0,0.0,0.0,8.0,pb1_full
J000001,upper_grille_a,C_IRIDIUM_SILVER,1,86,1.0,0.0,1.0,9.0,pb1_full
J000106,rear_bumper_d,C_IRIDIUM_SILVER,1,87,0.0,0.0,0.0,9.0,pb1_full
J000027,front_bumper_a,C_IRIDIUM_SILVER,1,88,0.0,0.0,0.0,9.0,pb1_full
J000175,threshold_trim_a,C_IRIDIUM_SILVER,1,89,0.0,0.0,0.0,9.0,pb1_full
J000004,upper_grille_b,C_IRIDIUM_SILVER,1,90,0.0,0.0,0.0,9.0,pb1_full
J000154,threshold_a,C_IRIDIUM_SILVER,1,91,0.0,0.0,0.0,9.0,pb1_full
