token_index,token_type,part_id,part_name,topcoat_name,topcoat_no,color_code,quantity,original,job_id,prov_row_index,prov_seq_in_row,part_part_name,part_part_category,part_part_type,part_part_no,topcoat_topcoat_name,topcoat_topcoat_no,topcoat_topcoat_family,setup_cost,cumulative_setup_cost,booth_id,booth_seq_index,feeder_job_index,feeder_token_index
91,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000160,70.0,5.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0,1,36,88,91
92,JOB,threshold_b,Threshold B,Obsidian Black,10.0,C_OBSIDIAN_BLACK,6.0,579.0,J000161,70.0,6.0,Threshold B,Threshold,B,22.0,Obsidian Black,10.0,BLACK,0.0,5.0,1,37,89,92
96,JOB,threshold_c,Threshold C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,3.0,276.0,J000166,72.0,3.0,Threshold C,Threshold,C,23.0,Obsidian Black,10.0,BLACK,0.0,5.0,1,38,92,96
98,JOB,radar_bracket_d,Radar bracket D,Obsidian Black,10.0,C_OBSIDIAN_BLACK,1.0,4.0,J000180,80.0,1.0,Radar bracket D,Radar bracket,D,30.0,Obsidian Black,10.0,BLACK,0.0,5.0,1,39,93,98
190,JOB,shell_a,Shell A,Denim Blue,4.0,C_DENIM_BLUE,1.0,6.0,J000130,55.0,1.0,Shell A,Shell,A,18.0,Denim Blue,4.0,BLUE,1.0,12.0,1,40,181,190
189,JOB,front_bumper_g,Front bumper G,Universe Black,9.0,C_UNIVERSE_BLACK,1.0,43.0,J000075,29.0,1.0,Front bumper G,Front bumper,G,10.0,Universe Black,9.0,BLACK,1.0,11.0,1,41,180,189
179,JOB,radar_bracket_a,Radar bracket A,Ruby Red,3.0,C_RUBY_RED,1.0,5.0,J000176,76.0,1.0,Radar bracket A,Radar bracket,A,27.0,Ruby Red,3.0,RED,0.0,10.0,1,42,172,179
176,JOB,threshold_a,Threshold A,Ruby Red,3.0,C_RUBY_RED,4.0,351.0,J000142,63.0,2.0,Threshold A,Threshold,A,21.0,Ruby Red,3.0,RED,0.0,10.0,1,43,169,176
175,JOB,threshold_a,Threshold A,Ruby Red,3.0,C_RUBY_RED,4.0,351.0,J000141,63.0,1.0,Threshold A,Threshold,A,21.0,Ruby Red,3.0,RED,0.0,10.0,1,44,168,175
172,JOB,rear_bumper_f,Rear bumper F,Ruby Red,3.0,C_RUBY_RED,2.0,101.0,J000110,45.0,1.0,Rear bumper F,Rear bumper,F,16.0,Ruby Red,3.0,RED,0.0,10.0,1,45,165,172
171,JOB,rear_bumper_a,Rear bumper A,Ruby Red,3.0,C_RUBY_RED,4.0,372.0,J000084,33.0,4.0,Rear bumper A,Rear bumper,A,11.0,Ruby Red,3.0,RED,0.0,10.0,1,46,164,171
168,JOB,rear_bumper_a,Rear bumper A,Ruby Red,3.0,C_RUBY_RED,4.0,372.0,J000081,33.0,1.0,Rear bumper A,Rear bumper,A,11.0,Ruby Red,3.0,RED,0.0,10.0,1,47,161,168
167,JOB,front_bumper_e,Front bumper E,Ruby Red,3.0,C_RUBY_RED,1.0,99.0,J000052,23.0,1.0,Front bumper E,Front bumper,E,8.0,Ruby Red,3.0,RED,1.0,10.0,1,48,160,167
146,JOB,threshold_a,Threshold A,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,86.0,J000145,64.0,1.0,Threshold A,Threshold,A,21.0,Sapphire Blue,5.0,BLUE,0.0,9.0,1,49,141,146
145,JOB,rim_decoration_a,Rim decoration A,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,6.0,J000133,58.0,1.0,Rim decoration A,Rim decoration,A,19.0,Sapphire Blue,5.0,BLUE,0.0,9.0,1,50,140,145
142,JOB,rear_bumper_a,Rear bumper A,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,3.0,J000085,34.0,1.0,Rear bumper A,Rear bumper,A,11.0,Sapphire Blue,5.0,BLUE,0.0,9.0,1,51,137,142
141,JOB,front_bumper_d,Front bumper D,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,15.0,J000039,20.0,1.0,Front bumper D,Front bumper,D,7.0,Sapphire Blue,5.0,BLUE,0.0,9.0,1,52,136,141
138,JOB,front_bumper_a,Front bumper A,Sapphire Blue,5.0,C_SAPPHIRE_BLUE,1.0,80.0,J000013,8.0,1.0,Front bumper A,Front bumper,A,4.0,Sapphire Blue,5.0,BLUE,1.0,9.0,1,53,133,138
125,JOB,radar_bracket_d,Radar bracket D,Milan Silver,7.0,C_MILAN_SILVER,1.0,3.0,J000181,81.0,1.0,Radar bracket D,Radar bracket,D,30.0,Milan Silver,7.0,SILVER,0.0,7.0,1,54,120,125
122,JOB,shell_a,Shell A,Milan Silver,7.0,C_MILAN_SILVER,1.0,3.0,J000131,56.0,1.0,Shell A,Shell,A,18.0,Milan Silver,7.0,SILVER,0.0,7.0,1,55,117,122
121,JOB,rear_bumper_g,Rear bumper G,Milan Silver,7.0,C_MILAN_SILVER,1.0,79.0,J000120,49.0,1.0,Rear bumper G,Rear bumper,G,17.0,Milan Silver,7.0,SILVER,0.0,7.0,1,56,116,121
118,JOB,front_bumper_g,Front bumper G,Milan Silver,7.0,C_MILAN_SILVER,1.0,20.0,J000076,30.0,1.0,Front bumper G,Front bumper,G,10.0,Milan Silver,7.0,SILVER,0.0,7.0,1,57,113,118
117,JOB,front_bumper_e,Front bumper E,Milan Silver,7.0,C_MILAN_SILVER,1.0,75.0,J000057,25.0,1.0,Front bumper E,Front bumper,E,8.0,Milan Silver,7.0,SILVER,0.0,7.0,1,58,112,117
137,JOB,radar_bracket_b,Radar bracket B,Polar White,1.0,C_POLAR_WHITE,1.0,32.0,J000178,78.0,1.0,Radar bracket B,Radar bracket,B,28.0,Polar White,1.0,WHITE,0.0,8.0,1,59,132,137
134,JOB,threshold_d,Threshold D,Polar White,1.0,C_POLAR_WHITE,5.0,468.0,J000169,73.0,3.0,Threshold D,Threshold,D,24.0,Polar White,1.0,WHITE,0.0,8.0,1,60,129,134
133,JOB,threshold_d,Threshold D,Polar White,1.0,C_POLAR_WHITE,5.0,468.0,J000168,73.0,2.0,Threshold D,Threshold,D,24.0,Polar White,1.0,WHITE,0.0,8.0,1,61,128,133
130,JOB,threshold_a,Threshold A,Polar White,1.0,C_POLAR_WHITE,6.0,505.0,J000151,66.0,5.0,Threshold A,Threshold,A,21.0,Polar White,1.0,WHITE,0.0,8.0,1,62,125,130
129,JOB,threshold_a,Threshold A,Polar White,1.0,C_POLAR_WHITE,6.0,505.0,J000150,66.0,4.0,Threshold A,Threshold,A,21.0,Polar White,1.0,WHITE,0.0,8.0,1,63,124,129
126,JOB,threshold_a,Threshold A,Polar White,1.0,C_POLAR_WHITE,6.0,505.0,J000147,66.0,1.0,Threshold A,Threshold,A,21.0,Polar White,1.0,WHITE,1.0,8.0,1,64,121,126
114,JOB,rim_decoration_a,Rim decoration A,Polar White,1.0,C_POLAR_WHITE,2.0,168.0,J000135,59.0,2.0,Rim decoration A,Rim decoration,A,19.0,Polar White,1.0,WHITE,0.0,6.0,1,65,109,114
113,JOB,rim_decoration_a,Rim decoration A,Polar White,1.0,C_POLAR_WHITE,2.0,168.0,J000134,59.0,1.0,Rim decoration A,Rim decoration,A,19.0,Polar White,1.0,WHITE,0.0,6.0,1,66,108,113
110,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000091,35.0,6.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0,1,67,105,110
109,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000090,35.0,5.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0,1,68,104,109
106,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000087,35.0,2.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0,1,69,101,106
105,JOB,rear_bumper_a,Rear bumper A,Polar White,1.0,C_POLAR_WHITE,6.0,565.0,J000086,35.0,1.0,Rear bumper A,Rear bumper,A,11.0,Polar White,1.0,WHITE,0.0,6.0,1,70,100,105
102,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000072,28.0,8.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,6.0,1,71,97,102
101,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000071,28.0,7.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,6.0,1,72,96,101
78,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000067,28.0,3.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,5.0,1,73,77,78
77,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000066,28.0,2.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,5.0,1,74,76,77
74,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000025,10.0,9.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0,1,75,73,74
73,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000024,10.0,8.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0,1,76,72,73
70,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000021,10.0,5.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0,1,77,69,70
69,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000020,10.0,4.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0,1,78,68,69
66,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000017,10.0,1.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0,1,79,65,66
65,JOB,middle_spoiler_a,Middle spoiler A,Polar White,1.0,C_POLAR_WHITE,2.0,149.0,J000008,5.0,2.0,Middle spoiler A,Middle spoiler,A,3.0,Polar White,1.0,WHITE,0.0,5.0,1,80,64,65
151,JOB,front_bumper_c,Front bumper C,Diamond White,2.0,C_DIAMOND_WHITE,1.0,78.0,J000038,19.0,1.0,Front bumper C,Front bumper,C,6.0,Diamond White,2.0,WHITE,0.0,9.0,1,81,144,151
152,JOB,front_bumper_e,Front bumper E,Diamond White,2.0,C_DIAMOND_WHITE,5.0,475.0,J000058,26.0,1.0,Front bumper E,Front bumper,E,8.0,Diamond White,2.0,WHITE,0.0,9.0,1,82,145,152
155,JOB,front_bumper_e,Front bumper E,Diamond White,2.0,C_DIAMOND_WHITE,5.0,475.0,J000061,26.0,4.0,Front bumper E,Front bumper,E,8.0,Diamond White,2.0,WHITE,0.0,9.0,1,83,148,155
156,JOB,front_bumper_e,Front bumper E,Diamond White,2.0,C_DIAMOND_WHITE,5.0,475.0,J000062,26.0,5.0,Front bumper E,Front bumper,E,8.0,Diamond White,2.0,WHITE,0.0,9.0,1,84,149,156
159,JOB,rear_bumper_c,Rear bumper C,Diamond White,2.0,C_DIAMOND_WHITE,1.0,87.0,J000104,40.0,1.0,Rear bumper C,Rear bumper,C,13.0,Diamond White,2.0,WHITE,0.0,9.0,1,85,152,159
160,JOB,rear_bumper_f,Rear bumper F,Diamond White,2.0,C_DIAMOND_WHITE,4.0,323.0,J000116,48.0,1.0,Rear bumper F,Rear bumper,F,16.0,Diamond White,2.0,WHITE,0.0,9.0,1,86,153,160
163,JOB,rear_bumper_f,Rear bumper F,Diamond White,2.0,C_DIAMOND_WHITE,4.0,323.0,J000119,48.0,4.0,Rear bumper F,Rear bumper,F,16.0,Diamond White,2.0,WHITE,0.0,9.0,1,87,156,163
164,JOB,rear_bumper_g,Rear bumper G,Diamond White,2.0,C_DIAMOND_WHITE,5.0,427.0,J000121,50.0,1.0,Rear bumper G,Rear bumper,G,17.0,Diamond White,2.0,WHITE,0.0,9.0,1,88,157,164
181,JOB,rear_bumper_g,Rear bumper G,Diamond White,2.0,C_DIAMOND_WHITE,5.0,427.0,J000124,50.0,4.0,Rear bumper G,Rear bumper,G,17.0,Diamond White,2.0,WHITE,0.0,10.0,1,89,173,181
184,JOB,threshold_b,Threshold B,Diamond White,2.0,C_DIAMOND_WHITE,2.0,177.0,J000162,71.0,1.0,Threshold B,Threshold,B,22.0,Diamond White,2.0,WHITE,0.0,10.0,1,90,176,184
185,JOB,threshold_b,Threshold B,Diamond White,2.0,C_DIAMOND_WHITE,2.0,177.0,J000163,71.0,2.0,Threshold B,Threshold,B,22.0,Diamond White,2.0,WHITE,0.0,10.0,1,91,177,185
